,condition,User ID,Baseline,Day 1,Day 2,Day 3,Day 4,Day 5,Weekend 1,Day 6,Day 7,Day 8,Day 9,Day 10,Weekend 2,Norstat ID
85,1,111640,1,0,1,1,1,1,1,1,1,1,1,1,1,81K7AmbwNB3oZmyO
86,1,111641,1,0,0,0,0,0,1,0,0,0,0,0,99,VXGWAkjxVdy9vNZ0
87,4,111642,1,0,0,0,0,0,1,0,0,0,0,0,1,QGYe2jGlYm59grXp
88,3,111643,1,1,1,1,1,1,1,1,1,1,1,1,1,JLQkAYXJ3N49OeDG
89,2,111645,1,1,1,1,1,1,1,0,0,0,0,1,1,GLPp2O51B4KA03ym
90,4,111646,1,1,0,0,1,1,1,0,0,1,1,1,1,gJdBAE83xLQ9bz5P
91,1,111647,1,0,1,1,1,1,1,1,1,1,1,1,1,YXrqo48PWnDoMZdm
92,3,111648,1,0,0,1,1,1,1,1,1,0,1,1,1,YXrqo4XLpxgoMZdm
93,1,111651,1,0,1,1,1,1,1,1,1,1,1,1,1,YXrqo4VZVgg9MZdm
94,1,111654,1,0,0,0,1,1,1,1,1,1,1,1,1,GlMq9ebm88aADpXY
95,3,111655,1,1,1,0,1,1,1,1,1,1,1,1,1,81K7AmXM8k39ZmyO
96,2,111656,99,0,0,0,0,0,99,0,0,0,0,0,99,81K7AmpqEW69ZmyO
97,2,111662,1,1,1,1,1,1,1,1,1,1,1,1,1,ybDaoyXdpxdAQdvY
98,1,111663,1,0,1,1,1,1,1,1,1,1,1,1,1,nKY7owV6kvYAG3v4
99,5,111675,1,1,1,1,1,1,1,0,1,1,0,0,1,Elb8AvX1vEe2pLX5
100,2,111677,1,1,1,1,1,1,1,1,1,1,1,1,1,YXrqo4Bx0xx9MZdm
101,3,111708,1,0,0,0,1,0,1,1,0,0,0,0,1,JLQkAYXa6Xv9OeDG
102,1,111710,1,0,0,0,1,1,1,1,1,1,1,0,1,xgOVA18PnjR9elJ1
103,2,111711,1,1,1,1,1,1,1,1,1,1,1,1,1,Elb8AvBQLrkApLX5
